2025-01-05,수입,3000000,월급,
2025-01-06,지출,120000,식비,이마트 장보기
2025-01-08,지출,12000,식비,직장 점심
2025-01-09,지출,6000,식비,커피
2025-01-11,지출,55000,교통,주유비
2025-01-13,지출,10000,교통,주차비
2025-01-15,지출,180000,쇼핑,겨울 패딩
2025-01-18,지출,15000,쇼핑,양말
2025-01-22,지출,50000,기타,병원 진료
2025-01-25,지출,30000,기타,경조사비
2025-01-28,지출,45000,식비,가족 외식
2025-01-30,지출,8000,식비,카페
2025-02-05,수입,3000000,월급,
2025-02-06,지출,130000,식비,홈플러스 장보기
2025-02-08,지출,10000,식비,직장 점심
2025-02-09,지출,7000,식비,커피
2025-02-11,지출,60000,교통,주유비
2025-02-14,지출,12000,교통,주차비
2025-02-16,지출,120000,쇼핑,운동화
2025-02-18,지출,20000,쇼핑,생활용품
2025-02-21,지출,40000,기타,약국
2025-02-24,지출,50000,기타,회비
2025-02-27,지출,55000,식비,외식
2025-02-28,지출,9000,식비,카페
2025-03-05,수입,3000000,월급,
2025-03-06,지출,140000,식비,코스트코 장보기
2025-03-08,지출,13000,식비,직장 점심
2025-03-09,지출,7000,식비,커피
2025-03-11,지출,65000,교통,주유비
2025-03-14,지출,10000,교통,주차비
2025-03-16,지출,90000,쇼핑,셔츠 구입
2025-03-18,지출,25000,쇼핑,벨트
2025-03-22,지출,70000,기타,경조사비
2025-03-25,지출,30000,기타,생활용품
2025-03-28,지출,60000,식비,가족 외식
2025-03-30,지출,8000,식비,카페
2025-04-05,수입,3000000,월급,
2025-04-06,지출,150000,식비,이마트 장보기
2025-04-08,지출,12000,식비,직장 점심
2025-04-09,지출,7000,식비,커피
2025-04-11,지출,60000,교통,주유비
2025-04-13,지출,10000,교통,주차비
2025-04-16,지출,220000,쇼핑,전자제품
2025-04-18,지출,18000,쇼핑,생활용품
2025-04-22,지출,50000,기타,병원 진료
2025-04-24,지출,25000,기타,약국
2025-04-27,지출,70000,식비,가족 외식
2025-04-30,지출,10000,식비,카페
2025-05-05,수입,3000000,월급,
2025-05-06,지출,145000,식비,이마트 장보기
2025-05-08,지출,12000,식비,직장 점심
2025-05-09,지출,8000,식비,커피
2025-05-11,지출,65000,교통,주유비
2025-05-13,지출,10000,교통,주차비
2025-05-16,지출,180000,쇼핑,여름 의류
2025-05-18,지출,22000,쇼핑,생활용품
2025-05-21,지출,70000,기타,병원 진료
2025-05-24,지출,30000,기타,약국
2025-05-27,지출,65000,식비,가족 외식
2025-05-30,지출,10000,식비,카페
2025-06-05,수입,3000000,월급,
2025-06-06,지출,160000,식비,코스트코 장보기
2025-06-08,지출,15000,식비,직장 점심
2025-06-09,지출,7000,식비,커피
2025-06-11,지출,70000,교통,주유비
2025-06-14,지출,12000,교통,주차비
2025-06-16,지출,250000,쇼핑,에어컨 수리
2025-06-18,지출,20000,쇼핑,생활용품
2025-06-22,지출,50000,기타,생활용품
2025-06-24,지출,40000,기타,경조사비
2025-06-27,지출,70000,식비,가족 외식
2025-06-30,지출,9000,식비,카페
2025-07-05,수입,3000000,월급,
2025-07-06,지출,170000,식비,마트 장보기
2025-07-08,지출,13000,식비,직장 점심
2025-07-09,지출,8000,식비,커피
2025-07-11,지출,75000,교통,주유비
2025-07-14,지출,10000,교통,주차비
2025-07-17,지출,140000,쇼핑,반팔 의류
2025-07-19,지출,25000,쇼핑,생활용품
2025-07-22,지출,35000,기타,약국
2025-07-24,지출,50000,기타,생활용품
2025-07-27,지출,80000,식비,가족 외식
2025-07-30,지출,10000,식비,카페
2025-08-05,수입,3000000,월급,
2025-08-06,지출,190000,식비,휴가 장보기
2025-08-08,지출,15000,식비,직장 점심
2025-08-09,지출,9000,식비,커피
2025-08-11,지출,80000,교통,주유비
2025-08-13,지출,12000,교통,톨게이트
2025-08-16,지출,280000,쇼핑,캠핑용품
2025-08-18,지출,30000,쇼핑,생활용품
2025-08-21,지출,100000,기타,여행 경비
2025-08-24,지출,50000,기타,병원 진료
2025-08-27,지출,90000,식비,가족 외식
2025-08-30,지출,12000,식비,카페
2025-09-05,수입,3000000,월급,
2025-09-06,지출,150000,식비,이마트 장보기
2025-09-08,지출,12000,식비,직장 점심
2025-09-09,지출,8000,식비,커피
2025-09-11,지출,70000,교통,주유비
2025-09-13,지출,10000,교통,주차비
2025-09-16,지출,130000,쇼핑,운동용품
2025-09-18,지출,25000,쇼핑,생활용품
2025-09-21,지출,50000,기타,생활용품
2025-09-24,지출,40000,기타,약국
2025-09-27,지출,70000,식비,가족 외식
2025-09-30,지출,10000,식비,카페
2025-10-05,수입,3000000,월급,
2025-10-06,지출,160000,식비,코스트코 장보기
2025-10-08,지출,13000,식비,직장 점심
2025-10-09,지출,9000,식비,커피
2025-10-11,지출,75000,교통,주유비
2025-10-13,지출,12000,교통,주차비
2025-10-16,지출,170000,쇼핑,가을 의류
2025-10-18,지출,30000,쇼핑,생활용품
2025-10-22,지출,60000,기타,병원 진료
2025-10-24,지출,30000,기타,약국
2025-10-27,지출,80000,식비,가족 외식
2025-10-30,지출,10000,식비,카페
2025-11-05,수입,3000000,월급,
2025-11-06,지출,180000,식비,이마트 장보기
2025-11-08,지출,15000,식비,직장 점심
2025-11-09,지출,10000,식비,커피
2025-11-11,지출,80000,교통,주유비
2025-11-13,지출,10000,교통,주차비
2025-11-16,지출,250000,쇼핑,겨울 의류
2025-11-18,지출,50000,쇼핑,생활용품
2025-11-21,지출,100000,기타,경조사비
2025-11-24,지출,50000,기타,회비
2025-11-27,지출,90000,식비,가족 외식
2025-11-30,지출,12000,식비,카페
2025-12-05,수입,3000000,월급,
2025-12-06,지출,220000,식비,연말 장보기
2025-12-08,지출,18000,식비,직장 점심
2025-12-09,지출,12000,식비,카페
2025-12-11,지출,90000,교통,주유비
2025-12-13,지출,15000,교통,톨게이트
2025-12-16,지출,350000,쇼핑,연말 선물
2025-12-18,지출,70000,쇼핑,생활용품
2025-12-21,지출,150000,기타,회식비
2025-12-24,지출,100000,기타,경조사비
2025-12-27,지출,120000,식비,가족 외식
2025-12-30,지출,15000,식비,카페
2026-01-05,수입,3000000,월급,
2026-01-07,지출,150000,식비,이마트 장보기
2026-01-10,지출,70000,교통,주유비
2026-01-15,지출,120000,쇼핑,겨울 의류
2026-01-20,지출,40000,기타,병원
2026-01-25,지출,50000,식비,가족 외식
2026-02-05,수입,3000000,월급,
2026-02-07,지출,160000,식비,코스트코 장보기
2026-02-10,지출,75000,교통,주유비
2026-02-15,지출,90000,쇼핑,운동화
2026-02-20,지출,30000,기타,약국
2026-02-26,지출,60000,식비,외식
2026-03-05,수입,3000000,월급,
2026-03-08,지출,170000,식비,장보기
2026-03-11,지출,80000,교통,주유비
2026-03-15,지출,100000,쇼핑,셔츠
2026-03-20,지출,50000,기타,생활용품
2026-03-27,지출,70000,식비,외식
2026-04-05,수입,3000000,월급,
2026-04-08,지출,180000,식비,장보기
2026-04-11,지출,80000,교통,주유비
2026-04-15,지출,140000,쇼핑,가전제품
2026-04-20,지출,50000,기타,병원
2026-04-28,지출,70000,식비,외식
2026-05-05,수입,3000000,월급,
2026-05-08,지출,170000,식비,장보기
2026-05-11,지출,85000,교통,주유비
2026-05-15,지출,120000,쇼핑,여름 의류
2026-05-20,지출,60000,기타,경조사비
2026-05-28,지출,80000,식비,외식
2026-06-05,수입,3000000,월급,
2026-06-08,지출,180000,식비,장보기
2026-06-11,지출,90000,교통,주유비
2026-06-15,지출,130000,쇼핑,반팔 의류
2026-06-19,지출,50000,기타,생활용품
